timestamp,h_raw,h5S_count,h5S_mean,h5S_variance,h5S_std,s_raw,s5S_count,s5S_mean,s5S_variance,s5S_std
00:05.0,,35,-74.34,7.8,2.79,-62,35,-68.22,2.15,1.47
00:05.0,-86,36,-74.67,7.89,2.81,,35,-68.22,2.13,1.46
00:05.0,-85,36,-75.25,7.71,2.78,,35,-68.22,1.8,1.34
00:05.0,-81,37,-75.41,7.85,2.8,,35,-68.22,1.79,1.34
00:05.0,-80,38,-75.53,8,2.83,,35,-68.22,1.77,1.33
00:05.0,,38,-75.53,8.14,2.85,-63,35,-68.2,1.76,1.33
00:05.0,-81,39,-75.67,8.29,2.88,,35,-68.2,1.74,1.32
00:05.0,,39,-75.67,8.43,2.9,-72,36,-68.21,1.73,1.31
00:05.1,,39,-75.67,8.57,2.93,-61,36,-68.16,1.71,1.31
00:05.1,-87,40,-75.95,8.37,2.89,,36,-68.16,1.53,1.24
00:05.1,,40,-75.95,8.16,2.86,-70,37,-68.1,1.39,1.18
00:05.1,,40,-75.95,8.3,2.88,-60,37,-68.04,1.38,1.17
00:05.1,-78,41,-76,8.44,2.9,,37,-68.04,1.37,1.17
00:05.1,-77,42,-76.02,8.57,2.93,,37,-68.04,1.35,1.16
00:05.1,,42,-76.02,8.7,2.95,-73,38,-68.06,1.34,1.16
00:05.1,,42,-76.02,8.82,2.97,-57,38,-67.96,1.33,1.15
00:05.1,,42,-76.02,8.93,2.99,-84,39,-68.13,1.32,1.15
00:05.1,,42,-76.02,9.04,3.01,-60,39,-67.98,1.31,1.14
00:05.1,-85,43,-76.23,9.17,3.03,,39,-67.98,1.3,1.14
00:05.1,-81,44,-76.34,9.29,3.05,,39,-67.98,1.29,1.13
00:05.1,,44,-76.34,9.41,3.07,-79,40,-68.16,1.28,1.13
00:05.1,-83,45,-76.49,9.54,3.09,,40,-68.16,1.27,1.13
00:05.1,,45,-76.49,9.66,3.11,-60,40,-68.1,1.26,1.12
00:05.1,-81,46,-76.59,9.79,3.13,,40,-68.1,1.25,1.12
00:05.1,-80,47,-76.66,9.91,3.15,,40,-68.1,1.24,1.11
00:05.1,,47,-76.66,10.04,3.17,-63,40,-68.08,1.23,1.11
00:05.1,,47,-76.66,10.15,3.19,-64,40,-68.07,1.22,1.1
00:05.2,,47,-76.66,10.26,3.2,-80,41,-68.18,1.21,1.1
00:05.2,,47,-76.66,10.37,3.22,-61,41,-68.13,1.2,1.1
00:05.2,,47,-76.66,10.47,3.24,-60,41,-68.08,1.19,1.09
00:05.2,,47,-76.66,10.57,3.25,-82,42,-68.2,1.18,1.09
00:05.3,,47,-76.66,10.66,3.27,-58,42,-68.13,1.17,1.08
00:05.3,,47,-76.66,10.75,3.28,-76,42,-68.26,1.17,1.08
00:05.3,-84,48,-76.81,10.85,3.29,,42,-68.26,1.16,1.08
00:05.4,,48,-76.81,10.94,3.31,-58,42,-68.19,1.15,1.07
00:05.4,,48,-76.81,11.03,3.32,-76,42,-68.31,1.14,1.07
00:05.4,-83,49,-76.94,11.13,3.34,,42,-68.31,1.13,1.06
00:05.4,-84,50,-77.08,11.23,3.35,,42,-68.31,1.13,1.06
00:05.4,,50,-77.08,11.32,3.37,-77,43,-68.37,1.12,1.06
00:05.5,-81,50,-77.36,10.12,3.18,,41,-68.59,0.65,0.81
00:05.5,-82,51,-77.45,10.23,3.2,,41,-68.59,0.65,0.8
00:05.5,,51,-77.45,10.34,3.22,-71,42,-68.58,0.64,0.8
00:05.6,,51,-77.45,10.44,3.23,-73,42,-68.66,0.64,0.8
00:05.6,-88,51,-77.82,9.82,3.13,,41,-68.74,0.35,0.59
00:05.6,,51,-77.82,9.94,3.15,-60,42,-68.59,0.35,0.59
00:05.6,,51,-77.82,10.06,3.17,-61,43,-68.45,0.35,0.59
00:05.7,,51,-77.82,10.17,3.19,-72,43,-68.52,0.35,0.59
00:05.7,-80,52,-77.87,10.09,3.18,,42,-68.44,0.31,0.56
00:05.7,-81,53,-77.92,10,3.16,,41,-68.34,0.3,0.55
00:05.8,,51,-78.14,9.82,3.13,-71,41,-68.4,0.29,0.54
00:05.8,-86,52,-78.29,9.9,3.15,,41,-68.48,0.26,0.51
00:05.8,-85,52,-78.75,9.91,3.15,,41,-68.48,0.23,0.48
00:05.9,,52,-78.75,9.91,3.15,-68,40,-68.47,0.22,0.46
00:05.9,-80,53,-78.77,9.58,3.09,,38,-68.47,0.15,0.39
00:05.9,,51,-79.2,9.1,3.02,-78,39,-68.44,0.12,0.34
00:05.9,,51,-79.2,9.26,3.04,-77,40,-68.52,0.12,0.34
00:06.0,-82,52,-79.25,9.23,3.04,,40,-68.47,0.11,0.34
00:06.1,,50,-79.64,8.71,2.95,-76,40,-68.51,0.11,0.34
00:06.1,-81,50,-79.82,8.55,2.92,,40,-68.56,0.11,0.33
00:06.1,-82,51,-79.86,8.73,2.95,,40,-68.56,0.11,0.33
00:06.2,,51,-79.86,8.91,2.98,-61,40,-68.52,0.11,0.33
00:06.2,-79,52,-79.85,8.91,2.98,,39,-68.52,0.11,0.33
