timestamp;h_raw;h5S_count;h5S_mean;h5S_variance;h5S_std;s_raw;s5S_count;s5S_mean;s5S_variance;s5S_std
00:05.0;;50;-44.24;1.24;1.11;-77;50;-74.12;0.49;0.7
00:05.1;-47;50;-44.36;1.18;1.09;;50;-74.12;0.48;0.69
00:05.2;;49;-44.45;1.05;1.03;-83;49;-74.24;0.48;0.7
00:05.2;;49;-44.45;1.05;1.02;-82;49;-74.34;0.48;0.69
00:05.2;-44;50;-44.44;1.04;1.02;;49;-74.34;0.48;0.69
00:05.2;;50;-44.44;1.04;1.02;-73;50;-74.31;0.48;0.69
00:05.3;;49;-44.47;0.92;0.96;-73;50;-74.32;0.47;0.69
00:05.3;-76;50;-45.1;0.92;0.96;;50;-74.32;0.47;0.69
00:05.4;;49;-45.16;0.84;0.92;-81;50;-74.28;0.45;0.67
00:05.4;-43;50;-45.12;0.84;0.92;;50;-74.28;0.45;0.67
00:05.5;;50;-45.12;0.72;0.85;-76;48;-74.16;0.37;0.61
00:05.5;;49;-45.12;0.7;0.84;-77;49;-74.18;0.31;0.56
00:05.6;;48;-45.17;0.59;0.77;-71;47;-74.3;0.2;0.45
00:05.6;;48;-45.17;0.6;0.77;-70;47;-74.28;0.2;0.45
00:05.6;-42;48;-44.42;0.53;0.73;;47;-74.28;0.19;0.44
00:05.6;;48;-44.42;0.46;0.68;-73;47;-74.24;0.18;0.43
00:05.6;;48;-44.42;0.46;0.68;-74;48;-74.21;0.18;0.43
00:05.7;;46;-44.54;0.32;0.57;-75;49;-74.13;0.13;0.36
00:05.8;;46;-44.54;0.25;0.5;-76;48;-74.27;0.1;0.31
00:05.8;-46;47;-44.57;0.25;0.5;;48;-74.27;0.1;0.31
00:05.8;;47;-44.57;0.22;0.47;-73;48;-74.31;0.1;0.31
00:05.9;;47;-44.57;0.17;0.41;-64;48;-74.38;0.1;0.31
00:05.9;-47;46;-44.8;0.15;0.39;;48;-74.38;0.1;0.31
00:05.9;-46;47;-44.83;0.15;0.39;;48;-74.38;0.1;0.31
00:05.9;;47;-44.83;0.15;0.39;-77;48;-74.38;0.09;0.31
00:06.0;;47;-44.83;0.15;0.38;-55;48;-74.25;0.09;0.3
00:06.0;;47;-44.83;0.15;0.39;-56;48;-74.1;0.09;0.3
00:06.0;;47;-44.83;0.15;0.39;-52;48;-73.9;0.09;0.3
00:06.0;-48;47;-45;0.16;0.4;;48;-73.9;0.09;0.3
00:06.0;;47;-45;0.16;0.4;-81;49;-73.95;0.09;0.3
00:06.1;;47;-45;0.16;0.4;-66;47;-73.89;0.09;0.29
00:06.1;-46;47;-45.06;0.17;0.41;;47;-73.89;0.09;0.29
00:06.1;;47;-45.06;0.17;0.42;-73;48;-73.85;0.08;0.29
00:06.2;;47;-45.06;0.18;0.42;-69;48;-73.8;0.08;0.29
00:06.3;;46;-45.13;0.18;0.43;-87;49;-73.9;0.08;0.29
00:06.3;;46;-45.13;0.19;0.44;-68;48;-73.94;0.08;0.29
00:06.3;-45;47;-45.13;0.2;0.44;;48;-73.94;0.08;0.29
00:06.4;;47;-45.13;0.21;0.45;-76;47;-74.02;0.07;0.27
00:06.4;;47;-45.13;0.21;0.46;-77;48;-74.02;0.07;0.27
00:06.4;;47;-45.13;0.22;0.47;-66;48;-74.02;0.06;0.25
00:06.4;-43;46;-45.28;0.23;0.48;;47;-74.06;0.05;0.21
00:06.5;;46;-45.28;0.24;0.49;-69;48;-73.98;0.05;0.21
00:06.5;;46;-45.28;0.25;0.5;-79;48;-73.72;0.05;0.21
00:06.5;;46;-45.28;0.25;0.5;-80;48;-73.81;0.05;0.22
00:06.6;;45;-45.36;0.26;0.51;-76;48;-73.85;0.05;0.22
00:06.6;;45;-45.36;0.27;0.52;-77;49;-73.85;0.05;0.22
00:06.6;;45;-45.36;0.28;0.53;-70;49;-73.59;0.05;0.22
00:06.6;;45;-45.36;0.28;0.53;-71;49;-73.59;0.05;0.22
00:06.7;;45;-45.36;0.29;0.54;-80;48;-73.63;0.05;0.21
00:06.7;;45;-45.36;0.3;0.55;-69;48;-73.6;0.05;0.21
00:06.8;-47;46;-45.39;0.31;0.55;;48;-73.6;0.05;0.22
00:06.8;;46;-45.39;0.31;0.56;-80;48;-73.74;0.05;0.22
